model,seed,param,episode,return,length,success
baseline,0,0.5,0,935.0,500,0.0
baseline,0,0.5,1,899.0,500,0.0
baseline,0,0.5,2,945.0,500,0.0
baseline,0,0.5,3,937.0,500,0.0
baseline,0,0.5,4,943.0,500,0.0
baseline,0,0.5,5,948.0,500,0.0
baseline,0,0.5,6,942.0,500,0.0
baseline,0,0.5,7,0.0,500,0.0
baseline,0,0.5,8,0.0,500,0.0
baseline,0,0.5,9,947.0,500,0.0
baseline,0,0.5,10,901.0,500,0.0
baseline,0,0.5,11,994.0,500,0.0
baseline,0,0.5,12,938.0,500,0.0
baseline,0,0.5,13,0.0,500,0.0
baseline,0,0.5,14,865.0,500,0.0
baseline,0,0.5,15,864.0,500,0.0
baseline,0,0.5,16,0.0,500,0.0
baseline,0,0.5,17,858.0,500,0.0
baseline,0,0.5,18,898.0,500,0.0
baseline,0,0.5,19,857.0,500,0.0
baseline,0,0.5,20,0.0,500,0.0
baseline,0,0.5,21,902.0,500,0.0
baseline,0,0.5,22,939.0,500,0.0
baseline,0,0.5,23,899.0,500,0.0
baseline,0,0.5,24,861.0,500,0.0
baseline,0,0.5,25,948.0,500,0.0
baseline,0,0.5,26,858.0,500,0.0
baseline,0,0.5,27,0.0,500,0.0
baseline,0,0.5,28,1000.0,500,0.0
baseline,0,0.5,29,944.0,500,0.0
baseline,0,1.0,0,932.0,500,0.0
baseline,0,1.0,1,891.0,500,0.0
baseline,0,1.0,2,944.0,500,0.0
baseline,0,1.0,3,936.0,500,0.0
baseline,0,1.0,4,942.0,500,0.0
baseline,0,1.0,5,942.0,500,0.0
baseline,0,1.0,6,941.0,500,0.0
baseline,0,1.0,7,0.0,500,0.0
baseline,0,1.0,8,0.0,500,0.0
baseline,0,1.0,9,944.0,500,0.0
baseline,0,1.0,10,806.0,500,0.0
baseline,0,1.0,11,981.0,500,0.0
baseline,0,1.0,12,939.0,500,0.0
baseline,0,1.0,13,0.0,500,0.0
baseline,0,1.0,14,735.0,500,0.0
baseline,0,1.0,15,735.0,500,0.0
baseline,0,1.0,16,0.0,500,0.0
baseline,0,1.0,17,764.0,500,0.0
baseline,0,1.0,18,833.0,500,0.0
baseline,0,1.0,19,773.0,500,0.0
baseline,0,1.0,20,0.0,500,0.0
baseline,0,1.0,21,807.0,500,0.0
baseline,0,1.0,22,937.0,500,0.0
baseline,0,1.0,23,800.0,500,0.0
