model,seed,param,episode,return,length,success
baseline,2,0.5,0,940.0,500,0.0
baseline,2,0.5,1,824.0,500,0.0
baseline,2,0.5,2,938.0,500,0.0
baseline,2,0.5,3,940.0,500,0.0
baseline,2,0.5,4,941.0,500,0.0
baseline,2,0.5,5,946.0,500,0.0
baseline,2,0.5,6,901.0,500,0.0
baseline,2,0.5,7,944.0,500,0.0
baseline,2,0.5,8,945.0,500,0.0
baseline,2,0.5,9,901.0,500,0.0
baseline,2,0.5,10,945.0,500,0.0
baseline,2,0.5,11,994.0,500,0.0
baseline,2,0.5,12,856.0,500,0.0
baseline,2,0.5,13,1000.0,500,0.0
baseline,2,0.5,14,902.0,500,0.0
baseline,2,0.5,15,897.0,500,0.0
baseline,2,0.5,16,859.0,500,0.0
baseline,2,0.5,17,1000.0,500,0.0
baseline,2,0.5,18,859.0,500,0.0
baseline,2,0.5,19,863.0,500,0.0
baseline,2,0.5,20,1000.0,500,0.0
baseline,2,0.5,21,821.0,500,0.0
baseline,2,0.5,22,940.0,500,0.0
baseline,2,0.5,23,860.0,500,0.0
baseline,2,0.5,24,856.0,500,0.0
baseline,2,0.5,25,943.0,500,0.0
baseline,2,0.5,26,899.0,500,0.0
baseline,2,0.5,27,860.0,500,0.0
baseline,2,0.5,28,899.0,500,0.0
baseline,2,0.5,29,946.0,500,0.0
baseline,2,1.0,0,938.0,500,0.0
baseline,2,1.0,1,700.0,500,0.0
baseline,2,1.0,2,936.0,500,0.0
baseline,2,1.0,3,938.0,500,0.0
baseline,2,1.0,4,939.0,500,0.0
baseline,2,1.0,5,896.0,500,0.0
baseline,2,1.0,6,809.0,500,0.0
baseline,2,1.0,7,943.0,500,0.0
baseline,2,1.0,8,895.0,500,0.0
baseline,2,1.0,9,847.0,500,0.0
baseline,2,1.0,10,943.0,500,0.0
baseline,2,1.0,11,981.0,500,0.0
baseline,2,1.0,12,771.0,500,0.0
baseline,2,1.0,13,1000.0,500,0.0
baseline,2,1.0,14,811.0,500,0.0
baseline,2,1.0,15,804.0,500,0.0
baseline,2,1.0,16,771.0,500,0.0
baseline,2,1.0,17,1000.0,500,0.0
baseline,2,1.0,18,771.0,500,0.0
baseline,2,1.0,19,737.0,500,0.0
baseline,2,1.0,20,1000.0,500,0.0
baseline,2,1.0,21,729.0,500,0.0
baseline,2,1.0,22,939.0,500,0.0
baseline,2,1.0,23,735.0,500,0.0
baseline,2,1.0,24,772.0,500,0.0
baseline,2,1.0,25,941.0,500,0.0
baseline,2,1.0,26,844.0,500,0.0
baseline,2,1.0,27,733.0,500,0.0
baseline,2,1.0,28,803.0,500,0.0
baseline,2,1.0,29,940.0,500,0.0
baseline,2,1.5,0,937.0,500,0.0
baseline,2,1.5,1,433.0,500,0.0
baseline,2,1.5,2,246.0,500,0.0
baseline,2,1.5,3,936.0,500,0.0
baseline,2,1.5,4,938.0,500,0.0
baseline,2,1.5,5,882.0,500,0.0
baseline,2,1.5,6,173.0,500,0.0
baseline,2,1.5,7,245.0,500,0.0
baseline,2,1.5,8,838.0,500,0.0
baseline,2,1.5,9,792.0,500,0.0
baseline,2,1.5,10,938.0,500,0.0
baseline,2,1.5,11,238.0,500,0.0
baseline,2,1.5,12,159.0,500,0.0
baseline,2,1.5,13,1000.0,500,0.0
baseline,2,1.5,14,713.0,500,0.0
baseline,2,1.5,15,750.0,500,0.0
baseline,2,1.5,16,671.0,500,0.0
baseline,2,1.5,17,1000.0,500,0.0
baseline,2,1.5,18,668.0,500,0.0
baseline,2,1.5,19,605.0,500,0.0
baseline,2,1.5,20,1000.0,500,0.0
baseline,2,1.5,21,144.0,500,0.0
baseline,2,1.5,22,937.0,500,0.0
baseline,2,1.5,23,595.0,500,0.0
baseline,2,1.5,24,630.0,500,0.0
baseline,2,1.5,25,245.0,500,0.0
baseline,2,1.5,26,752.0,500,0.0
baseline,2,1.5,27,624.0,500,0.0
baseline,2,1.5,28,754.0,500,0.0
baseline,2,1.5,29,220.0,500,0.0
baseline,2,2.0,0,198.0,500,0.0
baseline,2,2.0,1,76.0,500,0.0
baseline,2,2.0,2,167.0,500,0.0
baseline,2,2.0,3,211.0,500,0.0
baseline,2,2.0,4,204.0,500,0.0
baseline,2,2.0,5,189.0,500,0.0
baseline,2,2.0,6,110.0,500,0.0
baseline,2,2.0,7,203.0,500,0.0
baseline,2,2.0,8,143.0,500,0.0
baseline,2,2.0,9,740.0,500,0.0
baseline,2,2.0,10,203.0,500,0.0
baseline,2,2.0,11,167.0,500,0.0
baseline,2,2.0,12,115.0,500,0.0
baseline,2,2.0,13,1000.0,500,0.0
baseline,2,2.0,14,125.0,500,0.0
baseline,2,2.0,15,127.0,500,0.0
baseline,2,2.0,16,133.0,500,0.0
baseline,2,2.0,17,1000.0,500,0.0
baseline,2,2.0,18,129.0,500,0.0
baseline,2,2.0,19,94.0,500,0.0
baseline,2,2.0,20,1000.0,500,0.0
baseline,2,2.0,21,96.0,500,0.0
baseline,2,2.0,22,210.0,500,0.0
baseline,2,2.0,23,83.0,500,0.0
baseline,2,2.0,24,110.0,500,0.0
baseline,2,2.0,25,170.0,500,0.0
baseline,2,2.0,26,147.0,500,0.0
baseline,2,2.0,27,84.0,500,0.0
baseline,2,2.0,28,149.0,500,0.0
baseline,2,2.0,29,177.0,500,0.0
baseline,2,2.5,0,200.0,500,0.0
baseline,2,2.5,1,42.0,500,0.0
baseline,2,2.5,2,162.0,500,0.0
baseline,2,2.5,3,197.0,500,0.0
baseline,2,2.5,4,194.0,500,0.0
baseline,2,2.5,5,139.0,500,0.0
baseline,2,2.5,6,86.0,500,0.0
baseline,2,2.5,7,175.0,500,0.0
baseline,2,2.5,8,176.0,500,0.0
baseline,2,2.5,9,133.0,500,0.0
baseline,2,2.5,10,178.0,500,0.0
baseline,2,2.5,11,161.0,500,0.0
baseline,2,2.5,12,94.0,500,0.0
baseline,2,2.5,13,183.0,500,0.0
baseline,2,2.5,14,97.0,500,0.0
baseline,2,2.5,15,108.0,500,0.0
baseline,2,2.5,16,113.0,500,0.0
baseline,2,2.5,17,207.0,500,0.0
baseline,2,2.5,18,105.0,500,0.0
baseline,2,2.5,19,49.0,500,0.0
baseline,2,2.5,20,1000.0,500,0.0
baseline,2,2.5,21,63.0,500,0.0
baseline,2,2.5,22,195.0,500,0.0
baseline,2,2.5,23,68.0,500,0.0
baseline,2,2.5,24,407.0,500,0.0
