model,seed,param,episode,return,length,success
baseline,0,0.2,0,36.79475446976721,500,0.0
baseline,0,0.2,1,10.364865358918905,500,0.0
baseline,0,0.2,2,21.211865939199924,500,0.0
baseline,0,0.2,3,17.205520121380687,500,0.0
baseline,0,0.2,4,24.377169286832213,500,0.0
baseline,0,0.2,5,25.907447738572955,500,0.0
baseline,0,0.2,6,11.102385705336928,500,0.0
baseline,0,0.2,7,20.688794804736972,500,0.0
baseline,0,0.2,8,17.6415006313473,500,0.0
baseline,0,0.2,9,21.586331717669964,500,0.0
baseline,0,0.2,10,22.24119733273983,500,0.0
baseline,0,0.2,11,29.084408693015575,500,0.0
baseline,0,0.2,12,31.541278114542365,500,0.0
baseline,0,0.2,13,16.328602451831102,500,0.0
baseline,0,0.2,14,22.840570017695427,500,0.0
baseline,0,0.2,15,29.233391795307398,500,0.0
baseline,0,0.2,16,50.56246921420097,500,0.0
baseline,0,0.2,17,21.35833341628313,500,0.0
baseline,0,0.2,18,10.438548292033374,500,0.0
baseline,0,0.2,19,20.357733080163598,500,0.0
baseline,0,0.2,20,10.754991572350264,500,0.0
baseline,0,0.2,21,10.44682483933866,500,0.0
baseline,0,0.2,22,18.28728730045259,500,0.0
baseline,0,0.2,23,17.683435633778572,500,0.0
baseline,0,0.2,24,10.462108055129647,500,0.0
baseline,0,0.2,25,59.60318688862026,500,0.0
baseline,0,0.2,26,27.05455806851387,500,0.0
baseline,0,0.2,27,24.87323517911136,500,0.0
baseline,0,0.2,28,25.488966720178723,500,0.0
baseline,0,0.2,29,25.44996334053576,500,0.0
baseline,0,0.3,0,57.748646792024374,500,0.0
baseline,0,0.3,1,25.44959250278771,500,0.0
baseline,0,0.3,2,24.305148967541754,500,0.0
baseline,0,0.3,3,30.527449822053313,500,0.0
baseline,0,0.3,4,22.17909512668848,500,0.0
baseline,0,0.3,5,86.17891509830952,500,0.0
baseline,0,0.3,6,11.778683049604297,500,0.0
baseline,0,0.3,7,57.85312233865261,500,0.0
baseline,0,0.3,8,68.58512511849403,500,0.0
baseline,0,0.3,9,19.804780531674623,500,0.0
baseline,0,0.3,10,22.12940414994955,500,0.0
baseline,0,0.3,11,26.41566762328148,500,0.0
baseline,0,0.3,12,47.53595105372369,500,0.0
baseline,0,0.3,13,15.321151454001665,500,0.0
baseline,0,0.3,14,29.58409858867526,500,0.0
baseline,0,0.3,15,30.891023688018322,500,0.0
baseline,0,0.3,16,39.103305200114846,500,0.0
baseline,0,0.3,17,74.69379290379584,500,0.0
baseline,0,0.3,18,31.605749793350697,500,0.0
baseline,0,0.3,19,33.01779199205339,500,0.0
baseline,0,0.3,20,30.634405612945557,500,0.0
baseline,0,0.3,21,25.349053589627147,500,0.0
baseline,0,0.3,22,23.533456144854426,500,0.0
baseline,0,0.3,23,64.63290630280972,500,0.0
baseline,0,0.3,24,17.112618405371904,500,0.0
baseline,0,0.3,25,58.52565502375364,500,0.0
baseline,0,0.3,26,52.487939704209566,500,0.0
baseline,0,0.3,27,23.20632589235902,500,0.0
baseline,0,0.3,28,41.1611358076334,500,0.0
baseline,0,0.3,29,21.153647854924202,500,0.0
baseline,0,0.4,0,154.95888499729335,500,0.0
baseline,0,0.4,1,299.6201802585274,500,0.0
baseline,0,0.4,2,247.53305218508467,500,0.0
baseline,0,0.4,3,391.7164045907557,500,0.0
baseline,0,0.4,4,408.76103869080544,500,0.0
baseline,0,0.4,5,309.89266087766737,500,0.0
baseline,0,0.4,6,244.95724395662546,500,0.0
baseline,0,0.4,7,246.67914834991097,500,0.0
baseline,0,0.4,8,373.647065743804,500,0.0
baseline,0,0.4,9,365.7932886388153,500,0.0
baseline,0,0.4,10,185.41674340236932,500,0.0
baseline,0,0.4,11,18.334097150713205,500,0.0
baseline,0,0.4,12,337.8579015750438,500,0.0
baseline,0,0.4,13,353.8981321249157,500,0.0
baseline,0,0.4,14,217.25152295920998,500,0.0
baseline,0,0.4,15,391.40343690663576,500,0.0
baseline,0,0.4,16,351.46747865341604,500,0.0
baseline,0,0.4,17,245.23893492855132,500,0.0
baseline,0,0.4,18,252.38303551543504,500,0.0
baseline,0,0.4,19,13.883983321487904,500,0.0
baseline,0,0.4,20,180.13889504782856,500,0.0
baseline,0,0.4,21,233.36949436180294,500,0.0
baseline,0,0.4,22,45.15129291173071,500,0.0
baseline,0,0.4,23,197.01498793810606,500,0.0
baseline,0,0.4,24,249.19442656822503,500,0.0
baseline,0,0.4,25,284.8204605653882,500,0.0
baseline,0,0.4,26,391.6653564404696,500,0.0
baseline,0,0.4,27,14.211889397352934,500,0.0
baseline,0,0.4,28,321.79826720803976,500,0.0
baseline,0,0.4,29,22.939210060983896,500,0.0
baseline,0,0.5,0,499.6002507805824,500,0.0
baseline,0,0.5,1,444.6278843320906,500,0.0
baseline,0,0.5,2,415.1146906800568,500,0.0
baseline,0,0.5,3,440.68185685761273,500,0.0
baseline,0,0.5,4,507.221290551126,500,0.0
baseline,0,0.5,5,514.7642535660416,500,0.0
baseline,0,0.5,6,467.8637832738459,500,0.0
baseline,0,0.5,7,489.5337683875114,500,0.0
baseline,0,0.5,8,498.92743888683617,500,0.0
baseline,0,0.5,9,450.9632655438036,500,0.0
baseline,0,0.5,10,477.73585306853056,500,0.0
baseline,0,0.5,11,438.4885564222932,500,0.0
baseline,0,0.5,12,430.13458000309765,500,0.0
baseline,0,0.5,13,518.1558111738414,500,0.0
baseline,0,0.5,14,515.5074582844973,500,0.0
baseline,0,0.5,15,516.5653496328741,500,0.0
baseline,0,0.5,16,464.61279024742544,500,0.0
baseline,0,0.5,17,472.7166499774903,500,0.0
baseline,0,0.5,18,466.6577648804523,500,0.0
baseline,0,0.5,19,482.2936537731439,500,0.0
baseline,0,0.5,20,542.1420238651335,500,0.0
baseline,0,0.5,21,512.5904634445906,500,0.0
baseline,0,0.5,22,467.37420822377317,500,0.0
baseline,0,0.5,23,556.7113263234496,500,0.0
baseline,0,0.5,24,433.3903132379055,500,0.0
baseline,0,0.5,25,487.1265589427203,500,0.0
baseline,0,0.5,26,550.5676029585302,500,0.0
baseline,0,0.5,27,489.25058949552476,500,0.0
baseline,0,0.5,28,469.82626515999436,500,0.0
baseline,0,0.5,29,563.5611053928733,500,0.0
baseline,0,0.6,0,920.3260908126831,500,0.0
baseline,0,0.6,1,840.4048144826666,500,0.0
baseline,0,0.6,2,717.250933969859,500,0.0
baseline,0,0.6,3,776.5291986428201,500,0.0
baseline,0,0.6,4,910.5346213281155,500,0.0
baseline,0,0.6,5,752.167052872479,500,0.0
baseline,0,0.6,6,786.6786487847567,500,0.0
baseline,0,0.6,7,796.6695413142443,500,0.0
baseline,0,0.6,8,828.2176232635975,500,0.0
baseline,0,0.6,9,779.2283747978508,500,0.0
baseline,0,0.6,10,877.5631464319304,500,0.0
baseline,0,0.6,11,833.1105048283935,500,0.0
baseline,0,0.6,12,894.7698119580746,500,0.0
baseline,0,0.6,13,719.0657780990005,500,0.0
baseline,0,0.6,14,848.0540428906679,500,0.0
baseline,0,0.6,15,898.0278797745705,500,0.0
baseline,0,0.6,16,883.555702984333,500,0.0
baseline,0,0.6,17,739.0476951878518,500,0.0
baseline,0,0.6,18,791.2574423369952,500,0.0
baseline,0,0.6,19,819.4369789324701,500,0.0
baseline,0,0.6,20,735.7432358711958,500,0.0
baseline,0,0.6,21,801.0188132766634,500,0.0
baseline,0,0.6,22,784.8700967417099,500,0.0
baseline,0,0.6,23,894.7835673689842,500,0.0
baseline,0,0.6,24,846.8178752586246,500,0.0
baseline,0,0.6,25,809.2845378816128,500,0.0
baseline,0,0.6,26,915.9530258774757,500,0.0
baseline,0,0.6,27,826.8967643864453,500,0.0
baseline,0,0.6,28,832.0484251230955,500,0.0
baseline,0,0.6,29,696.9679042901844,500,0.0
baseline,0,0.7,0,986.1969703733921,500,0.0
baseline,0,0.7,1,958.3770497618243,500,0.0
baseline,0,0.7,2,931.647562141763,500,0.0
baseline,0,0.7,3,960.0036326348782,500,0.0
baseline,0,0.7,4,984.4776776432991,500,0.0
baseline,0,0.7,5,985.9321435391903,500,0.0
baseline,0,0.7,6,950.8749618791044,500,0.0
baseline,0,0.7,7,968.2237540483475,500,0.0
baseline,0,0.7,8,949.085800781846,500,0.0
baseline,0,0.7,9,931.6825708877295,500,0.0
baseline,0,0.7,10,954.3883622800931,500,0.0
baseline,0,0.7,11,893.3036286141723,500,0.0
baseline,0,0.7,12,980.8238896131516,500,0.0
baseline,0,0.7,13,956.6083975732327,500,0.0
baseline,0,0.7,14,972.8384700715542,500,0.0
baseline,0,0.7,15,985.0430746972561,500,0.0
baseline,0,0.7,16,961.6880839467049,500,0.0
baseline,0,0.7,17,979.9664789736271,500,0.0
baseline,0,0.7,18,942.9101721369661,500,0.0
baseline,0,0.7,19,965.6786974258721,500,0.0
baseline,0,0.7,20,953.1372421234846,500,0.0
baseline,0,0.7,21,943.8413028214127,500,0.0
baseline,0,0.7,22,890.8959443392232,500,0.0
baseline,0,0.7,23,974.4005158543587,500,0.0
baseline,0,0.7,24,957.4085960593075,500,0.0
baseline,0,0.7,25,960.8784446716309,500,0.0
baseline,0,0.7,26,986.9073414504528,500,0.0
baseline,0,0.7,27,967.15879522264,500,0.0
baseline,0,0.7,28,973.0079283565283,500,0.0
baseline,0,0.7,29,929.3669385388494,500,0.0
baseline,0,0.8,0,993.3044370114803,500,0.0
baseline,0,0.8,1,927.4142656363547,500,0.0
baseline,0,0.8,2,936.5231708108913,500,0.0
baseline,0,0.8,3,971.8112545311451,500,0.0
baseline,0,0.8,4,991.9661400020123,500,0.0
baseline,0,0.8,5,991.6846829354763,500,0.0
baseline,0,0.8,6,958.6908661648631,500,0.0
baseline,0,0.8,7,983.8232991397381,500,0.0
baseline,0,0.8,8,985.2727903425694,500,0.0
baseline,0,0.8,9,952.3449245542288,500,0.0
baseline,0,0.8,10,963.7141042370349,500,0.0
baseline,0,0.8,11,953.6223113164306,500,0.0
baseline,0,0.8,12,988.1344152987003,500,0.0
baseline,0,0.8,13,984.6162921786308,500,0.0
baseline,0,0.8,14,972.3565996289253,500,0.0
baseline,0,0.8,15,991.967206299305,500,0.0
baseline,0,0.8,16,983.5567395091057,500,0.0
baseline,0,0.8,17,954.9134402573109,500,0.0
baseline,0,0.8,18,943.4176630233414,500,0.0
baseline,0,0.8,19,966.9847956299782,500,0.0
baseline,0,0.8,20,967.6797988712788,500,0.0
baseline,0,0.8,21,962.9597626607865,500,0.0
baseline,0,0.8,22,961.8667520545423,500,0.0
baseline,0,0.8,23,988.6404013037682,500,0.0
baseline,0,0.8,24,967.0606480613351,500,0.0
baseline,0,0.8,25,934.37114084512,500,0.0
baseline,0,0.8,26,992.3690405488014,500,0.0
